,PTS,AST,REB,FG_PCT
Shaquille O'Neal_2005-06,20.016949152542374,1.9152542372881356,9.169491525423728,0.5963220338983052
Shaquille O'Neal_2006-07,17.25,1.975,7.425,0.58515
Shaquille O'Neal_2008-09,17.773333333333333,1.68,8.44,0.6110266666666666
Shaquille O'Neal_2009-10,12.0,1.509433962264151,6.69811320754717,0.5678679245283018
Kobe Bryant_2001-02,25.2375,5.475,5.5125,0.4760999999999999
Kobe Bryant_2002-03,30.01219512195122,5.865853658536586,6.878048780487805,0.45297560975609763
Kobe Bryant_2004-05,27.560606060606062,6.03030303030303,5.9393939393939394,0.43371212121212116
Kobe Bryant_2005-06,35.4,4.5,5.3125,0.4521875000000001
Derrick Rose_2014-15,17.725490196078432,4.921568627450981,3.156862745098039,0.39698039215686265
Derrick Rose_2015-16,16.363636363636363,4.712121212121212,3.409090909090909,0.4182878787878788
Derrick Rose_2017-18,8.36,1.48,1.4,0.40515999999999996
Derrick Rose_2018-19,17.980392156862745,4.313725490196078,2.7450980392156863,0.4768627450980392
Dwight Howard_2010-11,22.871794871794872,1.3717948717948718,14.076923076923077,0.5939615384615384
Dwight Howard_2011-12,20.61111111111111,1.9259259259259258,14.537037037037036,0.5730925925925925
Dwight Howard_2013-14,18.267605633802816,1.8450704225352113,12.19718309859155,0.5911549295774647
Dwight Howard_2014-15,15.75609756097561,1.2195121951219512,10.512195121951219,0.6069268292682927
Carmelo Anthony_2014-15,24.15,3.05,6.6,0.453125
Carmelo Anthony_2015-16,21.84722222222222,4.152777777777778,7.722222222222222,0.4352916666666667
Carmelo Anthony_2017-18,16.166666666666668,1.3205128205128205,5.8076923076923075,0.40114102564102555
Carmelo Anthony_2018-19,13.4,0.5,5.4,0.386
Allen Iverson_1998-99,26.75,4.645833333333333,4.916666666666667,0.4017916666666667
Allen Iverson_1999-00,28.414285714285715,4.685714285714286,3.8142857142857145,0.41908571428571434
Allen Iverson_2001-02,31.383333333333333,5.516666666666667,4.483333333333333,0.39913333333333334
Allen Iverson_2002-03,27.585365853658537,5.536585365853658,4.195121951219512,0.41315853658536583
Gilbert Arenas_2007-08,19.384615384615383,5.076923076923077,3.923076923076923,0.3971538461538462
Gilbert Arenas_2008-09,13.0,10.0,4.5,0.2615
Gilbert Arenas_2010-11,10.785714285714286,3.914285714285714,2.7,0.34408571428571433
Gilbert Arenas_2011-12,4.235294117647059,1.0588235294117647,1.0588235294117647,0.33547058823529413
Paul Pierce_1998-99,16.479166666666668,2.3958333333333335,6.4375,0.42902083333333335
Paul Pierce_1999-00,19.54794520547945,3.0273972602739727,5.424657534246576,0.44867123287671234
Paul Pierce_2001-02,26.146341463414632,3.182926829268293,6.902439024390244,0.44536585365853665
Paul Pierce_2002-03,25.924050632911392,4.417721518987341,7.3164556962025316,0.4160886075949368
Kevin Love_2016-17,19.033333333333335,1.9333333333333333,11.1,0.4173666666666666
Kevin Love_2017-18,17.610169491525422,1.7457627118644068,9.254237288135593,0.4297966101694915
Kevin Love_2019-20,17.625,3.1785714285714284,9.767857142857142,0.4444464285714286
Kevin Love_2020-21,12.2,2.52,7.44,0.3614
DeMar DeRozan_2016-17,27.2972972972973,3.918918918918919,5.216216216216216,0.4657297297297298
DeMar DeRozan_2017-18,23.0,5.2125,3.9375,0.44799999999999995
DeMar DeRozan_2019-20,22.11764705882353,5.588235294117647,5.514705882352941,0.5300735294117647
DeMar DeRozan_2020-21,21.57377049180328,6.918032786885246,4.245901639344262,0.4933606557377049
