DRAFT_YEAR,PLAYER_LAST_NAME,PLAYER_FIRST_NAME,POSITION,full_name,merge_key
1979,Cureton,Earl,F,Earl Cureton,Earl Cureton_1979
1994,Curley,Bill,F,Bill Curley,Bill Curley_1994
0,Curran,Fran,G,Fran Curran,Fran Curran_0
1986,Curry,Dell,G-F,Dell Curry,Dell Curry_1986
2001,Curry,Eddy,C,Eddy Curry,Eddy Curry_2001
2007,Curry,JamesOn,G,JamesOn Curry,JamesOn Curry_2007
0,Curry,Michael,F-G,Michael Curry,Michael Curry_0
0,Curry,Seth,G,Seth Curry,Seth Curry_0
2009,Curry,Stephen,G,Stephen Curry,Stephen Curry_2009
0,Cvetkovic,Rastko,C,Rastko Cvetkovic,Rastko Cvetkovic_0
1973,D'Antoni,Mike,G,Mike D'Antoni,Mike D'Antoni_1973
1950,Dahler,Ed,F,Ed Dahler,Ed Dahler_1950
1982,Dailey,Quintin,G,Quintin Dailey,Quintin Dailey_1982
2001,Dalembert,Samuel,C,Samuel Dalembert,Samuel Dalembert_2001
0,Dallmar,Howie,F,Howie Dallmar,Howie Dallmar_0
1996,Dampier,Erick,C,Erick Dampier,Erick Dampier_1996
1967,Dampier,Lou,G,Lou Dampier,Lou Dampier_1967
1969,Dandridge,Bob,F,Bob Dandridge,Bob Dandridge_1969
1997,Daniels,Antonio,G,Antonio Daniels,Antonio Daniels_1997
2022,Daniels,Dyson,G,Dyson Daniels,Dyson Daniels_2022
0,Daniels,Erik,F,Erik Daniels,Erik Daniels_0
0,Daniels,Lloyd,G,Lloyd Daniels,Lloyd Daniels_0
0,Daniels,Marquis,F,Marquis Daniels,Marquis Daniels_0
1967,Daniels,Mel,C,Mel Daniels,Mel Daniels_1967
0,Daniels,Troy,G,Troy Daniels,Troy Daniels_0
1992,Danilovic,Sasha,G,Sasha Danilovic,Sasha Danilovic_1992
1976,Dantley,Adrian,F,Adrian Dantley,Adrian Dantley_1976
0,Darcey,Henry,C,Henry Darcey,Henry Darcey_0
1947,Darden,Jimmy,G,Jimmy Darden,Jimmy Darden_1947
1994,Dare,Yinka,C-F,Yinka Dare,Yinka Dare_1994
1974,Dark,Jesse,G,Jesse Dark,Jesse Dark_1974
0,Darling,Nate,G,Nate Darling,Nate Darling_0
1960,Darrow,Jimmy,G,Jimmy Darrow,Jimmy Darrow_1960
0,Datome,Gigi,F,Gigi Datome,Gigi Datome_0
1986,Daugherty,Brad,C,Brad Daugherty,Brad Daugherty_1986
0,David,Kornel,F,Kornel David,Kornel David_0
2007,Davidson,Jermareo,F,Jermareo Davidson,Jermareo Davidson_2007
0,Davies,Bob,G,Bob Davies,Bob Davies_0
0,Davies,Brandon,F,Brandon Davies,Brandon Davies_0
2012,Davis,Anthony,F-C,Anthony Davis,Anthony Davis_2012
1990,Davis,Antonio,F-C,Antonio Davis,Antonio Davis_1990
0,Davis,Aubrey,G,Aubrey Davis,Aubrey Davis_0
1999,Davis,Baron,G,Baron Davis,Baron Davis_1999
1996,Davis,Ben,F,Ben Davis,Ben Davis_1996
1968,Davis,Bill,F,Bill Davis,Bill Davis_1968
1972,Davis,Bob,F,Bob Davis,Bob Davis_1972
1977,Davis,Brad,G,Brad Davis,Brad Davis_1977
1992,Davis,Brian,F,Brian Davis,Brian Davis_1992
1981,Davis,Charlie,F,Charlie Davis,Charlie Davis_1981
1971,Davis,Charlie,G,Charlie Davis,Charlie Davis_1971
1991,Davis,Dale,C-F,Dale Davis,Dale Davis_1991
2016,Davis,Deyonta,C-F,Deyonta Davis,Deyonta Davis_2016
1972,Davis,Double D,F,Double D Davis,Double D Davis_1972
2010,Davis,Ed,C-F,Ed Davis,Ed Davis_2010
1972,Davis,Edward,F,Edward Davis,Edward Davis_1972
0,Davis,Emanual,G,Emanual Davis,Emanual Davis_0
2007,Davis,Glen,F-C,Glen Davis,Glen Davis_2007
1978,Davis,Harry,F,Harry Davis,Harry Davis_1978
1992,Davis,Hubert,G,Hubert Davis,Hubert Davis_1992
1954,Davis,James,C,James Davis,James Davis_1954
1964,Davis,Jim,C,Jim Davis,Jim Davis_1964
1976,Davis,Johnny,G,Johnny Davis,Johnny Davis_1976
2022,Davis,Johnny,G,Johnny Davis,Johnny Davis_2022
0,Davis,Josh,F,Josh Davis,Josh Davis_0
1995,Davis,Mark,G-F,Mark Davis,Mark Davis_1995
1985,Davis,Mark,F,Mark Davis,Mark Davis_1985
1973,Davis,Mel,F,Mel Davis,Mel Davis_1973
0,Davis,Michael,F,Michael Davis,Michael Davis_0
1969,Davis,Mike,G,Mike Davis,Mike Davis_1969
1980,Davis,Monti,F,Monti Davis,Monti Davis_1980
2006,Davis,Paul,C,Paul Davis,Paul Davis_2006
1960,Davis,Ralph,G,Ralph Davis,Ralph Davis_1960
1998,Davis,Ricky,F-G,Ricky Davis,Ricky Davis_1998
1976,Davis,Ron,G,Ron Davis,Ron Davis_1976
0,Davis,Terence,G,Terence Davis,Terence Davis_0
0,Davis,Terry,C-F,Terry Davis,Terry Davis_0
0,Davis,Tyler,C,Tyler Davis,Tyler Davis_0
1952,Davis,Walt,C,Walt Davis,Walt Davis_1952
1977,Davis,Walter,G,Walter Davis,Walter Davis_1977
2022,Davison,JD,G,JD Davison,JD Davison_2022
0,Dawkins,Andre,G,Andre Dawkins,Andre Dawkins_0
1975,Dawkins,Darryl,C,Darryl Dawkins,Darryl Dawkins_1975
1986,Dawkins,Johnny,G,Johnny Dawkins,Johnny Dawkins_1986
1979,Dawkins,Paul,F,Paul Dawkins,Paul Dawkins_1979
2015,Dawson,Branden,F,Branden Dawson,Branden Dawson_2015
0,Dawson,Eric,F,Eric Dawson,Eric Dawson_0
0,Dawson,Tony,F,Tony Dawson,Tony Dawson_0
1992,Day,Todd,G-F,Todd Day,Todd Day_1992
2009,Daye,Austin,F,Austin Daye,Austin Daye_2009
1983,Daye,Darren,F,Darren Daye,Darren Daye_1983
0,Days,Darius,F,Darius Days,Darius Days_0
2009,De Colo,Nando,G,Nando De Colo,Nando De Colo_2009
1962,DeBusschere,Dave,F,Dave DeBusschere,Dave DeBusschere_1962
1995,DeClercq,Andrew,C,Andrew DeClercq,Andrew DeClercq_1995
0,DeLaurier,Javin,C,Javin DeLaurier,Javin DeLaurier_0
1950,DeLong,Nate,C,Nate DeLong,Nate DeLong_1950
2009,DeRozan,DeMar,G-F,DeMar DeRozan,DeMar DeRozan_2009
0,DeZonie,Hank,F,Hank DeZonie,Hank DeZonie_0
1979,Deane,Greg,G,Greg Deane,Greg Deane_1979
0,Deck,Gabriel,F,Gabriel Deck,Gabriel Deck_0
0,Dedmon,Dewayne,C,Dewayne Dedmon,Dewayne Dedmon_0
1958,Dees,Archie,F,Archie Dees,Archie Dees_1958
1993,Dehere,Terry,G,Terry Dehere,Terry Dehere_1993
0,Dehnert,Red,,Red Dehnert,Red Dehnert_0
0,Dejean-Jones,Bryce,G,Bryce Dejean-Jones,Bryce Dejean-Jones_0
2015,Dekker,Sam,F,Sam Dekker,Sam Dekker_2015
1988,Del Negro,Vinny,G,Vinny Del Negro,Vinny Del Negro_1988
0,Delaney,Malcolm,G,Malcolm Delaney,Malcolm Delaney_0
1991,Dele,Bison,C-F,Bison Dele,Bison Dele_1991
2003,Delfino,Carlos,G-F,Carlos Delfino,Carlos Delfino_2003
2018,Delgado,Angel,C,Angel Delgado,Angel Delgado_2018
1996,Delk,Tony,G,Tony Delk,Tony Delk_1996
0,Dellavedova,Matthew,G,Matthew Dellavedova,Matthew Dellavedova_0
1988,Dembo,Fennis,F,Fennis Dembo,Fennis Dembo_1988
1979,Demic,Larry,F,Larry Demic,Larry Demic_1979
0,Demps,Dell,G,Dell Demps,Dell Demps_0
1951,Dempsey,George,G,George Dempsey,George Dempsey_1951
2004,Deng,Luol,F,Luol Deng,Luol Deng_2004
1981,Dennard,Kenny,F,Kenny Dennard,Kenny Dennard_1981
1952,Denning,Blaine,G,Blaine Denning,Blaine Denning_1952
0,Dennis,Dexter,G,Dexter Dennis,Dexter Dennis_0
0,Dentmon,Justin,G,Justin Dentmon,Justin Dentmon_0
1971,Denton,Randy,C,Randy Denton,Randy Denton_1971
1974,Derline,Rod,G,Rod Derline,Rod Derline_1974
0,Derrickson,Marcus,F,Marcus Derrickson,Marcus Derrickson_0
1966,Deutsch,Dave,G,Dave Deutsch,Dave Deutsch_1966
1955,Devlin,Walter,G,Walter Devlin,Walter Devlin_1955
1973,DiGregorio,Ernie,G,Ernie DiGregorio,Ernie DiGregorio_1973
2018,DiVincenzo,Donte,G,Donte DiVincenzo,Donte DiVincenzo_2018
2022,Diabate,Moussa,F,Moussa Diabate,Moussa Diabate_2022
0,Diakite,Mamadi,F,Mamadi Diakite,Mamadi Diakite_0
1998,Dial,Derrick,G,Derrick Dial,Derrick Dial_1998
2016,Diallo,Cheick,F-C,Cheick Diallo,Cheick Diallo_2016
2018,Diallo,Hamidou,G,Hamidou Diallo,Hamidou Diallo_2018
2003,Diaw,Boris,C-F,Boris Diaw,Boris Diaw_2003
0,Diawara,Yakhouba,F-G,Yakhouba Diawara,Yakhouba Diawara_0
2006,Diaz,Guillermo,G,Guillermo Diaz,Guillermo Diaz_2006
2023,Dick,Gradey,G-F,Gradey Dick,Gradey Dick_2023
2002,Dickau,Dan,G,Dan Dickau,Dan Dickau_2002
2000,Dickens,Kaniel,F,Kaniel Dickens,Kaniel Dickens_2000
0,Dickerson,Henry,G,Henry Dickerson,Henry Dickerson_0
1998,Dickerson,Michael,G,Michael Dickerson,Michael Dickerson_1998
1973,Dickey,Derrek,F,Derrek Dickey,Derrek Dickey_1973
1950,Dickey,Dick,G,Dick Dickey,Dick Dickey_1950
2005,Diener,Travis,G,Travis Diener,Travis Diener_2005
2013,Dieng,Gorgui,C,Gorgui Dieng,Gorgui Dieng_2013
2022,Dieng,Ousmane,F,Ousmane Dieng,Ousmane Dieng_2022
1958,Dierking,Connie,C,Connie Dierking,Connie Dierking_1958
1970,Dietrick,Coby,C,Coby Dietrick,Coby Dietrick_1970
1981,Dillard,Mickey,G,Mickey Dillard,Mickey Dillard_1981
0,Dille,Bob,F,Bob Dille,Bob Dille_0
1948,Dillon,John,F,John Dillon,John Dillon_1948
0,Dinkins,Byron,G,Byron Dinkins,Byron Dinkins_0
1971,Dinkins,Jackie,F,Jackie Dinkins,Jackie Dinkins_1971
0,Dinwiddie,Bill,F,Bill Dinwiddie,Bill Dinwiddie_0
2014,Dinwiddie,Spencer,G,Spencer Dinwiddie,Spencer Dinwiddie_2014
2005,Diogu,Ike,F,Ike Diogu,Ike Diogu_2005
2001,Diop,DeSagana,C,DeSagana Diop,DeSagana Diop_2001
1962,Dischinger,Terry,F,Terry Dischinger,Terry Dischinger_1962
1951,Diute,Fred,G,Fred Diute,Fred Diute_1951
1989,Divac,Vlade,C,Vlade Divac,Vlade Divac_1989
2002,Dixon,Juan,G,Juan Dixon,Juan Dixon_2002
0,Djordjevic,Aleksandar,G,Aleksandar Djordjevic,Aleksandar Djordjevic_0
1949,Dodd,Earl,F,Earl Dodd,Earl Dodd_1949
1998,Doleac,Michael,C,Michael Doleac,Michael Doleac_1998
0,Dolhon,Joe,G,Joe Dolhon,Joe Dolhon_0
0,Doll,Bob,F,Bob Doll,Bob Doll_0
1979,Donaldson,James,C,James Donaldson,James Donaldson_1979
2018,Doncic,Luka,F-G,Luka Doncic,Luka Doncic_2018
1950,Donham,Bob,G,Bob Donham,Bob Donham_1950
1987,Donovan,Billy,G,Billy Donovan,Billy Donovan_1987
1949,Donovan,Harry,G,Harry Donovan,Harry Donovan_1949
2000,Dooling,Keyon,G,Keyon Dooling,Keyon Dooling_2000
1976,Dorsey,Jacky,F,Jacky Dorsey,Jacky Dorsey_1976
2008,Dorsey,Joey,C-F,Joey Dorsey,Joey Dorsey_2008
2017,Dorsey,Tyler,G,Tyler Dorsey,Tyler Dorsey_2017
0,Dort,Luguentz,G,Luguentz Dort,Luguentz Dort_0
2021,Dosunmu,Ayo,G,Ayo Dosunmu,Ayo Dosunmu_2021
2017,Dotson,Damyean,G,Damyean Dotson,Damyean Dotson_2017
0,Dotson,Devon,G,Devon Dotson,Devon Dotson_0
2006,Douby,Quincy,G,Quincy Douby,Quincy Douby_2006
1986,Douglas,Bruce,G,Bruce Douglas,Bruce Douglas_1986
1978,Douglas,John,G,John Douglas,John Douglas_1978
1976,Douglas,Leon,C,Leon Douglas,Leon Douglas_1976
1989,Douglas,Sherman,G,Sherman Douglas,Sherman Douglas_1989
2009,Douglas,Toney,G,Toney Douglas,Toney Douglas_2009
2008,Douglas-Roberts,Chris,G,Chris Douglas-Roberts,Chris Douglas-Roberts_2008
2019,Doumbouya,Sekou,F,Sekou Doumbouya,Sekou Doumbouya_2019
1967,Dove,Lloyd,F,Lloyd Dove,Lloyd Dove_1967
0,Dowdell,Zabian,G,Zabian Dowdell,Zabian Dowdell_0
0,Downey,Bill,C,Bill Downey,Bill Downey_0
1973,Downing,Steve,C,Steve Downing,Steve Downing_1973
0,Dowtin Jr.,Jeff,G,Jeff Dowtin Jr.,Jeff Dowtin Jr._0
1961,Doyle,Danny,F,Danny Doyle,Danny Doyle_1961
2017,Doyle,Milton,G,Milton Doyle,Milton Doyle_2017
0,Dozier,PJ,G-F,PJ Dozier,PJ Dozier_0
0,Dozier,Terry,F,Terry Dozier,Terry Dozier_0
2008,Dragic,Goran,G,Goran Dragic,Goran Dragic_2008
0,Dragic,Zoran,G-F,Zoran Dragic,Zoran Dragic_0
1986,Dreiling,Greg,C,Greg Dreiling,Greg Dreiling_1986
1998,Drew,Bryce,G,Bryce Drew,Bryce Drew_1998
1974,Drew,John,F,John Drew,John Drew_1974
1980,Drew,Larry,G,Larry Drew,Larry Drew_1980
0,Drew II,Larry,G,Larry Drew II,Larry Drew II_0
1983,Drexler,Clyde,G,Clyde Drexler,Clyde Drexler_1983
0,Driggers,Nate,G-F,Nate Driggers,Nate Driggers_0
1969,Driscoll,Terry,F,Terry Driscoll,Terry Driscoll_1969
1997,Drobnjak,Predrag,C,Predrag Drobnjak,Predrag Drobnjak_1997
1978,Drollinger,Ralph,C,Ralph Drollinger,Ralph Drollinger_1978
2012,Drummond,Andre,C,Andre Drummond,Andre Drummond_2012
1974,DuVal,Dennis,G,Dennis DuVal,Dennis DuVal_1974
2021,Duarte,Chris,G,Chris Duarte,Chris Duarte_2021
1957,Duckett,Dick,G,Dick Duckett,Dick Duckett_1957
1986,Duckworth,Kevin,C,Kevin Duckworth,Kevin Duckworth_1986
1972,Dudley,Charles,G,Charles Dudley,Charles Dudley_1972
1987,Dudley,Chris,C,Chris Dudley,Chris Dudley_1987
2007,Dudley,Jared,F,Jared Dudley,Jared Dudley_2007
1979,Duerod,Terry,G,Terry Duerod,Terry Duerod_1979
1962,Duffy,Bob,F,Bob Duffy,Bob Duffy_1962
1962,Duffy,Bob,G,Bob Duffy,Bob Duffy_1962
2004,Duhon,Chris,G,Chris Duhon,Chris Duhon_2004
0,Dukan,Duje,F,Duje Dukan,Duje Dukan_0
0,Duke Jr.,David,G,David Duke Jr.,David Duke Jr._0
1953,Dukes,Walter,C,Walter Dukes,Walter Dukes_1953
1985,Dumars,Joe,G,Joe Dumars,Joe Dumars_1985
1991,Dumas,Richard,F,Richard Dumas,Richard Dumas_1991
1994,Dumas,Tony,G,Tony Dumas,Tony Dumas_1994
1947,Duncan,Andy,F,Andy Duncan,Andy Duncan_1947
1997,Duncan,Tim,C-F,Tim Duncan,Tim Duncan_1997
2002,Dunleavy,Mike,G-F,Mike Dunleavy,Mike Dunleavy_2002
1976,Dunleavy,Mike,G,Mike Dunleavy,Mike Dunleavy_1976
2016,Dunn,Kris,G,Kris Dunn,Kris Dunn_2016
1956,Dunn,Pat,G,Pat Dunn,Pat Dunn_1956
1977,Dunn,T.R.,G,T.R. Dunn,T.R. Dunn_1977
0,Dupree,Ronald,F,Ronald Dupree,Ronald Dupree_0
2007,Durant,Kevin,F,Kevin Durant,Kevin Durant_2007
2022,Duren,Jalen,C,Jalen Duren,Jalen Duren_2022
1980,Duren,John,G,John Duren,John Duren_1980
1989,Durham,Pat,F,Pat Durham,Pat Durham_1989
1984,Durrant,Devin,F,Devin Durrant,Devin Durrant_1984
1971,Durrett,Ken,F,Ken Durrett,Ken Durrett_1971
0,Duval,Trevon,G,Trevon Duval,Trevon Duval_0
0,Dwan,Jack,F,Jack Dwan,Jack Dwan_0
1981,Dykema,Craig,F,Craig Dykema,Craig Dykema_1981
1953,Dyker,Gene,F,Gene Dyker,Gene Dyker_1953
0,Dyson,Jerome,G,Jerome Dyson,Jerome Dyson_0
1988,Eackles,Ledell,G,Ledell Eackles,Ledell Eackles_1988
1968,Eakins,Jim,C,Jim Eakins,Jim Eakins_1968
1993,Earl,Acie,F-C,Acie Earl,Acie Earl_1993
0,Earle,Ed,F,Ed Earle,Ed Earle_0
2014,Early,Cleanthony,F,Cleanthony Early,Cleanthony Early_2014
2022,Eason,Tari,F,Tari Eason,Tari Eason_2022
1982,Eaton,Mark,C,Mark Eaton,Mark Eaton_1982
1982,Eaves,Jerry,G,Jerry Eaves,Jerry Eaves_1982
2010,Ebanks,Devin,F,Devin Ebanks,Devin Ebanks_2010
1957,Ebben,Bill,G,Bill Ebben,Bill Ebben_1957
1974,Eberhard,Al,F,Al Eberhard,Al Eberhard_1974
2003,Ebi,Ndudi,F,Ndudi Ebi,Ndudi Ebi_2003
0,Echenique,Jaime,C,Jaime Echenique,Jaime Echenique_0
0,Eddie,Jarell,G-F,Jarell Eddie,Jarell Eddie_0
0,Eddie,Patrick,C,Patrick Eddie,Patrick Eddie_0
1949,Eddleman,Thomas,F,Thomas Eddleman,Thomas Eddleman_1949
1984,Edelin,Kent,F,Kent Edelin,Kent Edelin_1984
1982,Edmonson,Keith,G,Keith Edmonson,Keith Edmonson_1982
1995,Edney,Tyus,G,Tyus Edney,Tyus Edney_1995
2020,Edwards,Anthony,G,Anthony Edwards,Anthony Edwards_2020
0,Edwards,Bill,F,Bill Edwards,Bill Edwards_0
1989,Edwards,Blue,G-F,Blue Edwards,Blue Edwards_1989
2019,Edwards,Carsen,G,Carsen Edwards,Carsen Edwards_2019
2002,Edwards,Corsley,F,Corsley Edwards,Corsley Edwards_2002
1993,Edwards,Doug,F,Doug Edwards,Doug Edwards_1993
1981,Edwards,Franklin,G,Franklin Edwards,Franklin Edwards_1981
1977,Edwards,James,C,James Edwards,James Edwards_1977
1989,Edwards,Jay,F,Jay Edwards,Jay Edwards_1989
0,Edwards,John,C,John Edwards,John Edwards_0
2021,Edwards,Kessler,F,Kessler Edwards,Kessler Edwards_2021
1988,Edwards,Kevin,G,Kevin Edwards,Kevin Edwards_1988
0,Edwards,Rob,G,Rob Edwards,Rob Edwards_0
0,Edwards,Shane,,Shane Edwards,Shane Edwards_0
2018,Edwards,Vincent,F,Vincent Edwards,Vincent Edwards_2018
1961,Egan,Johnny,G,Johnny Egan,Johnny Egan_1961
0,Eggleston,Lonnie,G,Lonnie Eggleston,Lonnie Eggleston_0
1947,Ehlers,Eddie,G,Eddie Ehlers,Eddie Ehlers_1947
1983,Ehlo,Craig,G,Craig Ehlo,Craig Ehlo_1983
0,Eichhorst,Dick,G,Dick Eichhorst,Dick Eichhorst_0
1994,Eisley,Howard,G,Howard Eisley,Howard Eisley_1994
1999,Ekezie,Obinna,F-C,Obinna Ekezie,Obinna Ekezie_1999
2000,El-Amin,Khalid,G,Khalid El-Amin,Khalid El-Amin_2000
0,Eliason,Don,F,Don Eliason,Don Eliason_0
1985,Elie,Mario,G-F,Mario Elie,Mario Elie_1985
2020,Elleby,CJ,F-G,CJ Elleby,CJ Elleby_2020
0,Ellefson,Ray,C,Ray Ellefson,Ray Ellefson_0
2016,Ellenson,Henry,F,Henry Ellenson,Henry Ellenson_2016
2009,Ellington,Wayne,G,Wayne Ellington,Wayne Ellington_2009
1977,Elliott,Bob,C,Bob Elliott,Bob Elliott_1977
1989,Elliott,Sean,F,Sean Elliott,Sean Elliott_1989
1958,Ellis,Alexander,F,Alexander Ellis,Alexander Ellis_1958
1977,Ellis,Bo,F,Bo Ellis,Bo Ellis_1977
1983,Ellis,Dale,G-F,Dale Ellis,Dale Ellis_1983
0,Ellis,Harold,F-G,Harold Ellis,Harold Ellis_0
1966,Ellis,Joe,F,Joe Ellis,Joe Ellis_1966
0,Ellis,Keon,G,Keon Ellis,Keon Ellis_0
1992,Ellis,LaPhonso,F,LaPhonso Ellis,LaPhonso Ellis_1992
1991,Ellis,LeRon,C,LeRon Ellis,LeRon Ellis_1991
1962,Ellis,Leroy,F,Leroy Ellis,Leroy Ellis_1962
2005,Ellis,Monta,G,Monta Ellis,Monta Ellis_2005
1989,Ellison,Pervis,C-F,Pervis Ellison,Pervis Ellison_1989
1974,Elmore,Len,C,Len Elmore,Len Elmore_1974
1999,Elson,Francisco,C-F,Francisco Elson,Francisco Elson_1999
1974,Elston,Darrell,G,Darrell Elston,Darrell Elston_1974
2002,Ely,Melvin,C-F,Melvin Ely,Melvin Ely_2002
2014,Embiid,Joel,C-F,Joel Embiid,Joel Embiid_2014
1958,Embry,Wayne,C,Wayne Embry,Wayne Embry_1958
2004,Emmett,Andre,G,Andre Emmett,Andre Emmett_2004
0,Endress,Ned,F,Ned Endress,Ned Endress_0
1982,Engler,Chris,C,Chris Engler,Chris Engler_1982
0,Englestad,Wayne,F,Wayne Englestad,Wayne Englestad_0
1990,English,A.J.,G,A.J. English,A.J. English_1990
1976,English,Alex,F,Alex English,Alex English_1976
1970,English,Claude,G,Claude English,Claude English_1970
0,English,Jojo,G,Jojo English,Jojo English_0
2012,English,Kim,G,Kim English,Kim English_2012
1972,English,Scott,F,Scott English,Scott English_1972
0,Englund,Gene,F,Gene Englund,Gene Englund_0
2014,Ennis,Tyler,G,Tyler Ennis,Tyler Ennis_2014
2013,Ennis III,James,F,James Ennis III,James Ennis III_2013
1977,Epps,Ray,F,Ray Epps,Ray Epps_1977
2008,Erden,Semih,C,Semih Erden,Semih Erden_2008
1954,Erias,Bo,F,Bo Erias,Bo Erias_1954
1965,Erickson,Keith,F,Keith Erickson,Keith Erickson_1965
1972,Erving,Julius,F,Julius Erving,Julius Erving_1972
1999,Eschmeyer,Evan,C,Evan Eschmeyer,Evan Eschmeyer_1999
0,Eskridge,Jack,,Jack Eskridge,Jack Eskridge_0
0,Esposito,Vincenzo,G,Vincenzo Esposito,Vincenzo Esposito_0
0,Eubanks,Drew,F-C,Drew Eubanks,Drew Eubanks_0
1949,Evans,Bob,G,Bob Evans,Bob Evans_1949
1996,Evans,Brian,F,Brian Evans,Brian Evans_1996
1978,Evans,Earl,F,Earl Evans,Earl Evans_1978
2018,Evans,Jacob,G-F,Jacob Evans,Jacob Evans_2018
2017,Evans,Jawun,G,Jawun Evans,Jawun Evans_2017
2010,Evans,Jeremy,F,Jeremy Evans,Jeremy Evans_2010
0,Evans,Maurice,G-F,Maurice Evans,Maurice Evans_0
1978,Evans,Mike,G,Mike Evans,Mike Evans_1978
0,Evans,Reggie,C-F,Reggie Evans,Reggie Evans_0
2009,Evans,Tyreke,G-F,Tyreke Evans,Tyreke Evans_2009
2005,Ewing,Daniel,G,Daniel Ewing,Daniel Ewing_2005
1985,Ewing,Patrick,C,Patrick Ewing,Patrick Ewing_1985
2008,Ewing,Patrick,F,Patrick Ewing,Patrick Ewing_2008
2014,Exum,Dante,G,Dante Exum,Dante Exum_2014
2009,Eyenga,Christian,F,Christian Eyenga,Christian Eyenga_2009
2012,Ezeli,Festus,C,Festus Ezeli,Festus Ezeli_2012
1947,Ezersky,Johnny,F-G,Johnny Ezersky,Johnny Ezersky_1947
0,Fabel,Joe,F,Joe Fabel,Joe Fabel_0
1965,Fairchild,John,F,John Fairchild,John Fairchild_1965
0,Fall,Tacko,C,Tacko Fall,Tacko Fall_0
0,Farbman,Phil,F,Phil Farbman,Phil Farbman_0
2011,Faried,Kenneth,F-C,Kenneth Faried,Kenneth Faried_2011
1954,Farley,Dick,G,Dick Farley,Dick Farley_1954
2006,Farmar,Jordan,G,Jordan Farmar,Jordan Farmar_2006
0,Farmer,Desmon,G,Desmon Farmer,Desmon Farmer_0
1987,Farmer,Jim,F,Jim Farmer,Jim Farmer_1987
1958,Farmer,Mike,F,Mike Farmer,Mike Farmer_1958
0,Farmer,Tony,F,Tony Farmer,Tony Farmer_0
0,Faught,Bob,F,Bob Faught,Bob Faught_0
0,Faverani,Vitor,C,Vitor Faverani,Vitor Faverani_0
2010,Favors,Derrick,F,Derrick Favors,Derrick Favors_2010
2007,Fazekas,Nick,F,Nick Fazekas,Nick Fazekas_2007
1962,Fedor,Dave,F,Dave Fedor,Dave Fedor_1962
0,Feerick,Bob,G,Bob Feerick,Bob Feerick_0
1976,Feher,Butch,G,Butch Feher,Butch Feher_1976
1996,Feick,Jamie,F,Jamie Feick,Jamie Feick_1996
1953,Feiereisel,Ron,G,Ron Feiereisel,Ron Feiereisel_1953
0,Feigenbaum,George,G,George Feigenbaum,George Feigenbaum_0
1986,Feitl,Dave,C,Dave Feitl,Dave Feitl_1986
2016,Felder,Kay,G,Kay Felder,Kay Felder_2016
0,Felicio,Cristiano,F-C,Cristiano Felicio,Cristiano Felicio_0
2013,Felix,Carrick,G-F,Carrick Felix,Carrick Felix_2013
0,Felix,Noel,F,Noel Felix,Noel Felix_0
1953,Felix,Ray,C,Ray Felix,Ray Felix_1953
2005,Felton,Raymond,G,Raymond Felton,Raymond Felton_2005
1951,Fendley,Jake,G,Jake Fendley,Jake Fendley_1951
0,Fenley,Bill,F,Bill Fenley,Bill Fenley_0
0,Ferguson,Desmond,F,Desmond Ferguson,Desmond Ferguson_0
2017,Ferguson,Terrance,G,Terrance Ferguson,Terrance Ferguson_2017
2007,Fernandez,Rudy,G,Rudy Fernandez,Rudy Fernandez_2007
2019,Fernando,Bruno,F-C,Bruno Fernando,Bruno Fernando_2019
1975,Fernsten,Eric,C,Eric Fernsten,Eric Fernsten_1975
1955,Ferrari,Al,G,Al Ferrari,Al Ferrari_1955
1988,Ferreira,Rolando,F,Rolando Ferreira,Rolando Ferreira_1988
0,Ferrell,Duane,F,Duane Ferrell,Duane Ferrell_0
0,Ferrell,Yogi,G,Yogi Ferrell,Yogi Ferrell_0
1948,Ferrin,Arnie,F,Arnie Ferrin,Arnie Ferrin_1948
1959,Ferry,Bob,C,Bob Ferry,Bob Ferry_1959
1989,Ferry,Danny,F,Danny Ferry,Danny Ferry_1989
2007,Fesenko,Kyrylo,C,Kyrylo Fesenko,Kyrylo Fesenko_2007
1984,Fields,Kenny,F,Kenny Fields,Kenny Fields_1984
2010,Fields,Landry,G-F,Landry Fields,Landry Fields_2010
1967,Filipek,Ron,F,Ron Filipek,Ron Filipek_1967
1970,Fillmore,Greg,C,Greg Fillmore,Greg Fillmore_1970
1966,Finkel,Hank,C,Hank Finkel,Hank Finkel_1966
1995,Finley,Michael,G-F,Michael Finley,Michael Finley_1995
0,Finn,Danny,G,Danny Finn,Danny Finn_0
0,Finney-Smith,Dorian,F,Dorian Finney-Smith,Dorian Finney-Smith_0
1992,Fish,Matt,C,Matt Fish,Matt Fish_1992
1996,Fisher,Derek,G,Derek Fisher,Derek Fisher_1996
0,Fitch,Gerald,G,Gerald Fitch,Gerald Fitch_0
0,Fitts,Malik,F,Malik Fitts,Malik Fitts_0
0,Fitzgerald,Bob,F,Bob Fitzgerald,Bob Fitzgerald_0
0,Fitzgerald,Dick,F,Dick Fitzgerald,Dick Fitzgerald_0
2000,Fizer,Marcus,F,Marcus Fizer,Marcus Fizer_2000
0,Fleishman,Jerry,G,Jerry Fleishman,Jerry Fleishman_0
1976,Fleming,Al,F,Al Fleming,Al Fleming_1976
1955,Fleming,Ed,G,Ed Fleming,Ed Fleming_1955
