,PTS,AST,REB,FG_PCT
Shaquille O'Neal,18.633474576271187,1.9451271186440682,8.297245762711864,0.5907360169491526
Kobe Bryant,27.62484756097561,5.670426829268292,6.1952743902439025,0.46453780487804874
Derrick Rose,17.0445632798574,4.816844919786096,3.2829768270944744,0.4076341354723707
Dwight Howard,21.74145299145299,1.6488603988603987,14.306980056980056,0.5835270655270655
Carmelo Anthony,22.99861111111111,3.6013888888888888,7.161111111111111,0.4442083333333333
Allen Iverson,27.582142857142856,4.6657738095238095,4.3654761904761905,0.4104386904761905
Gilbert Arenas,16.192307692307693,7.538461538461538,4.211538461538462,0.32932692307692313
Paul Pierce,18.01355593607306,2.711615296803653,5.931078767123288,0.4388460331050228
Kevin Love,18.32175141242938,1.83954802259887,10.177118644067797,0.42358163841807905
DeMar DeRozan,25.14864864864865,4.56570945945946,4.576858108108108,0.4568648648648649
